model,J2,L,rank,x,pi,k_low,P2,KF,retained_mass,unresolved_mass,D_TV_ranked,source_checkpoint,source_sha256
exact-TFIM,0,6,1,0.8705127018922193,0.92854688201836721,analytic,0.9375,0.8666666666666667,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,6,2,0.062500000000000014,0.06666666666666668,analytic,0.9375,0.8666666666666667,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,6,3,0.0044872981077806757,0.0047864513149660538,analytic,0.9375,0.8666666666666667,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,8,1,1.5796338980680111,0.90264794175314922,analytic,1.75,0.8214285714285714,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,8,2,0.13998930055272191,0.079993886030126804,analytic,1.75,0.8214285714285714,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,8,3,0.027903918260730604,0.015945096148988917,analytic,1.75,0.8214285714285714,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,8,4,0.0024728831185362537,0.0014130760677350022,analytic,1.75,0.8214285714285714,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,10,1,2.4914661368163373,0.88585462642358659,analytic,2.8125,0.79259259259259252,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,10,2,0.24073999976994884,0.085596444362648474,analytic,2.8125,0.79259259259259252,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,10,3,0.062499999999999993,0.02222222222222222,analytic,2.8125,0.79259259259259252,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,10,4,0.016226011480156229,0.0057692485262777708,analytic,2.8125,0.79259259259259252,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,10,5,0.001567851933557288,0.00055745846526481348,analytic,2.8125,0.79259259259259252,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,1,3.6059675338113144,0.87417394759062172,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,2,0.3642766952966367,0.088309501890093747,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,3,0.10614977327606868,0.025733278369956043,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,4,0.03679941915505397,0.008921071310316114,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,5,0.010723304703363115,0.0025995890189971188,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,12,6,0.001083273757562456,0.00026261182001514086,analytic,4.125,0.77272727272727271,1,0,0,analytic NS momentum-block formula,analytic
exact-TFIM,0,14,1,4.9231238900606975,0.86560420045023256,analytic,5.6875,0.75824175824175821,1,0,0,analytic NS momentum-block formula,analytic
